"filename", "language", "JSON", "Markdown", "JavaScript", "XML", "HTML", "Vue", "CSS", "comment", "blank", "total"
"c:\Users\arend\bakalarka\bakalarka\apps\server\models\employee.js", "JavaScript", 0, 0, 29, 0, 0, 0, 0, 0, 4, 33
"c:\Users\arend\bakalarka\bakalarka\apps\server\models\employeeAttendance.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 0, 4, 21
"c:\Users\arend\bakalarka\bakalarka\apps\server\models\equipment.js", "JavaScript", 0, 0, 25, 0, 0, 0, 0, 0, 4, 29
"c:\Users\arend\bakalarka\bakalarka\apps\server\models\index.js", "JavaScript", 0, 0, 50, 0, 0, 0, 0, 3, 13, 66
"c:\Users\arend\bakalarka\bakalarka\apps\server\models\test.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 0, 4, 21
"c:\Users\arend\bakalarka\bakalarka\apps\server\models\vehicle.js", "JavaScript", 0, 0, 33, 0, 0, 0, 0, 0, 4, 37
"c:\Users\arend\bakalarka\bakalarka\apps\server\models\workPlace.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 0, 4, 21
"c:\Users\arend\bakalarka\bakalarka\apps\server\package-lock.json", "JSON", 8609, 0, 0, 0, 0, 0, 0, 0, 1, 8610
"c:\Users\arend\bakalarka\bakalarka\apps\server\package.json", "JSON", 27, 0, 0, 0, 0, 0, 0, 0, 1, 28
"c:\Users\arend\bakalarka\bakalarka\apps\server\routes\attendances.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 8, 16
"c:\Users\arend\bakalarka\bakalarka\apps\server\routes\customers.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 5, 10
"c:\Users\arend\bakalarka\bakalarka\apps\server\routes\employees.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 8, 16
"c:\Users\arend\bakalarka\bakalarka\apps\server\routes\equipment.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 8, 16
"c:\Users\arend\bakalarka\bakalarka\apps\server\routes\index.js", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 0, 2, 22
"c:\Users\arend\bakalarka\bakalarka\apps\server\routes\notifications.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 5, 10
"c:\Users\arend\bakalarka\bakalarka\apps\server\routes\test.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 6, 12
"c:\Users\arend\bakalarka\bakalarka\apps\server\routes\vehicles.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 8, 16
